"text","true_label","predict_label"
"是滴，请出来透透气~~//@王小源:潮爆啊！！！你再不出来透个气，我都以为你转行做羽毛球运动员啦！[偷笑]  《组图：霍思燕潮爆装扮出街 艳丽色彩提前迎春》 http://sinaurl.cn/htSk6i   @张瑰宝 看到亮点了木。。。[鼓掌]","积极","积极"
"这造型很是可以[爱你][爱你] //@蔡小妖-yoyo:@王小同同学 @肥力_ @银?孓_国安瓦 @宣武区的胡美丽 @Lady毛嘎 @魔镜梳妆台V-美妆店铺","积极","积极"
"额，好友韩洁美女有过一句经典的话：30岁以前，我的身边全是男人；30岁一过，BIU一声，就改全是女人了……[阴险][嘻嘻]//@依珂: 我见到最多的异性是快递。","积极","积极"
"开车犯困，听歌精神，一起哼唱更happy[鼓掌]","积极","积极"
"回复@大胖墩city:[鼓掌] //@大胖墩city:感谢金陵，祝福金陵宾客盈门！吃了好多次金海湾，住了多次客房，金陵人的服务总是那么优秀！@黄浩俊Howard/@无锡金陵大饭店: #金陵月饼有奖转发#揭晓啦！恭喜幸运粉丝：@品三国007 @大胖墩city @掌上精彩 @不如意9527 @逗号结束纠结，获得盛世金陵月饼一盒，","积极","积极"
"[哈哈][花心]","积极","积极"
"//@honeykhun:依波啊！！希月zzang！！  //@awuzhuzhu:哇哇哇，真好看啊，好看啊~~~[爱你]   //@忆pinkyfish:求P图打包[爱你]  //@四次元老板娘果酱小姐:做的真好看啊 月月  //@想飞去哪里:一波...","积极","积极"
"//@沈阳新华购书中心: 欢迎欢迎//@杜桥主播: 回复@大海的小弟叫二宝:[哈哈] //@大海的小弟叫二宝:我的这个周末又得是在@沈阳新华购书中心 度过了。17号有海泉，18号有@杜桥主播 [鼓掌]","积极","积极"
"beautiful！这位亲爱的读者可以做偶的新书代言人了[可爱] 请私信我地址，寄新西兰名信片给你??[太阳]","积极","积极"
"是#蕾女#！[哈哈]上台前只听耳边一个给力的声音：你们几个给我Hold住啦，今天全靠你们啦！我顿时有种被扎了一针鸡血的感脚！是@王红民WHM  犀利王的声音！@中国时尚大典  @北京卫视  辛苦啦！//@王红民WHM:这是哪位超模呀？快告诉我们大家！[话筒] @黄小蕾  // @桦的天空 :  @马克_蝶丽奥娜","积极","积极"
"//@兰土豆:[哈哈][哈哈][哈哈][哈哈] 半夜笑醒了//@二大爷STEVEN:笑惨我了，都流泪了。可以睡觉了！","积极","积极"
"不想评，内心很痛楚。 //@一本正经-golf:[哈哈] //@嘎子爱红酒: //@云南蔡馥敏: 还用得着问吗?张的学说都是假的.  //@地球有个腐官党:[哈哈]  //@甲由21:  //@费明微博:  //@alichampion:  //@范桶: 可能是新来的小秘不知道有这个组织吧。[思考]  //@雾海-危岩:  //@晒cat...","积极","积极"
"三里屯modo，吃西班牙大餐????，增加快?，?自己打?，最重要是和大美妞@NicoleZeng  ?度六一！（PS：?迫美女吃晚餐，你完全不需要?肥）[耶][耶][爱你]","积极","积极"
"天气这么好时，是不是该带肉弹去宠物公园耍一下？[可爱]","积极","积极"
"[嘻嘻]老板真心帅[鼓掌][哈哈]","积极","积极"
"回复@大城小虎:[给力][嘻嘻]不错的创意[哈哈][good] //@大城小虎:叫 蓝采和 会不会更有仙气儿？呵呵 //@顾明-厨二代:[围观]","积极","积极"
"没事吧[哈哈]//@朱哥哥Blue: 不带这样的","积极","积极"
"[哈哈] //@女人天生爱美丽:一天很短，开心了就笑，不开心就过一会再笑。。。","积极","积极"
"说晚安了！我怀念的 洞庭饭店 @老波头  [哈哈]","积极","积极"
"今晚~《超级笑星》10：20播出陪你过小年~看我左边的萌小妹~今天我就是她~给各位博友请安了~无论何时何地，开心是最重要的@白雪公主和七个王立青 @君临天下炜你独尊 享受你们的寒假吧~我一点都不羡慕[哈哈][爱你][吃元宵][挖鼻屎] 我在这里:http://t.cn/8ke3ONd","积极","积极"
"回复@徐理的微空间:您真的很厉害，把我整得遍体鳞伤。 //@徐理的微空间:回覆@氧阳:哈哈。行，他已经被我驳的遍体鳞伤了，不敢出声了。哈哈哈哈 //@徐理的微空间:请问北京自信从何而来？地方支援中央吗？  //@出版人王三石:自信要有实力，河南尚须努力。  //@BIG鹏:  //@氧阳:[鼓掌] 姐们组团回迁！ ","积极","积极"
"我就说托妞是枚福将吗！[爱你][爱你][爱你]","积极","积极"
"下手晚了吧[哈哈]@马脚先生","积极","积极"
"太谢谢大家的厚爱了！[爱你][哈哈]//@麦露丹:老师是大伙心中最耀眼的明星[爱你]//@静老师:[偷笑]恍惚间，快成明星了！//@滑面内质网: 静老师又暴露了自己的行踪，粉丝们赶快去接机偶~~~","积极","积极"
"[给力] //@优品张楠艳:[鼓掌][鼓掌][鼓掌]牛！[鲜花][鲜花][鲜花][音乐][音乐][音乐][赞][赞][赞]","积极","积极"
"亚龙湾一线海景全套房精品康年度假酒店，希望你们住的开心[爱你]，有什么需要帮助的可以私信我哈[威武]","积极","积极"
"正在吃小印度 传说中的尼泊尔菜，正想你呢@小苹果露 [嘻嘻]","积极","积极"
"跟参与汽车摇号一个心理，我中不了，也增加了别人中的难度！[哈哈]@夕阳牛 @air甜馨 @E宝宝柠檬","积极","积极"
"骗人的能力低到极点//@为了婷婷: @踪踪 @糖花卷 @jiecy777 看见没，水瓶座亮了，可是这个好像不准，昨天我转发的天蝎还是一颗星，怎么今天我那么多。。//@女人天生爱美丽: 各星座骗人能力 [嘻嘻] @星座爱情001","积极","积极"
"坐着火车去泰国[嘻嘻]","积极","积极"
"刚在群里看到的。谁给这张照片起个名字呀？[哈哈]","积极","积极"
"经济学教育应该成为通识教育。 //@小编su:我们丽艳姐姐也跳脱教辅，开始加入一般书的行列啦[鼓掌]","积极","积极"
"长白山最美的瞬间------摄影家们眼中的长白山[可爱]","积极","积极"
"[哈哈][哈哈]金链子都出来了。","积极","积极"
"盆看起来也不错...[哈哈]/@黄天space: 真抠，就来个青菜白水汤[左哼哼] //@懒人业余餐厅南京店:妹纸这是要红绿搭配的节奏么[偷笑][偷笑]@懒人红姐","积极","积极"
"#新书上市# [嘻嘻]","积极","积极"
"晚饭吃的烩肉，美得很！你呢？[哈哈]@M_egan小懒D晴天 @银川出租V车队 @青春约你看宁夏  //@大兵瑞恩2011:这是去了宁夏大厦了吧，哇哈哈，我是宁夏人我骄傲 @宁夏北漂联谊会论坛 推荐@老沉 去宁夏尝尝更加正宗的宁夏美食，尤其是羊肉类相关食品","积极","积极"
"美丽的世界，让更多的人去欣赏去品味 去陶醉其间~[鼓掌]","积极","积极"
"恭喜 @石梅湾艾美度假酒店 获 #旅行者之选2012# 【中国地区最佳酒店TOP25（含港澳）】荣誉[鼓掌][鼓掌] 最佳海滩，家庭度假首选，石梅湾艾美度假酒店邀请您一起探索[心]","积极","积极"
"＂小女孩，大蔬菜＂，我们汤山御庭的自种蔬菜也进入收获季节，小伙伴们快来跟爸爸妈妈们一起采摘，体验一回菜农的乐趣哦?也可以来认领小菜田，种种菜，比一比，谁的小田地收获最多哦[哈哈][哈哈]@南京发布@Simon-欢@annie杜琳@南京锦之旅旅行网亲子游","积极","积极"
"非常感谢Hiro店长@IDEA-hiro-stylist 每次都能带给我不一样的发型体验[太开心]期待第八次见面[可爱]祝Idea生意兴隆@艺帝亚日式美发沙龙 ?ありがとう~~~","积极","积极"
